pert_iname	moa
loxapine	Dopamine receptor antagonist|Serotonin receptor antagonist
tamibarotene	Retinoid receptor agonist
retinol	Retinoid receptor agonist
quiflapon	Leukotriene inhibitor
tienilic-acid	Sodium channel inhibitor
tipiracil	Thymidine phosphorylase inhibitor
fulvestrant	Estrogen receptor antagonist
marimastat	Matrix metalloprotease inhibitor
AG-957	Protein tyrosine kinase inhibitor
resveratrol	Cytochrome P450 inhibitor|SIRT activator
ercalcitriol	Vitamin D receptor agonist
chaetocin	Histone lysine methyltransferase inhibitor
LY-2157299	TGF-beta receptor inhibitor
methotrexate	Dihydrofolate reductase inhibitor
sulbutiamine	Acetylcholine receptor antagonist
RVX-208	Apolipoprotein expression enhancer
JNJ-38877605	MET inhibitor
salicin	Anti-inflammatory
quinisocaine	Anesthetic - local
trimethoprim	Dihydrofolate reductase inhibitor
alprazolam	Benzodiazepine receptor agonist
cinoxacin	Bacterial DNA Gyrase inhibitor
phenylbutyrate	HDAC inhibitor
nilutamide	Androgen receptor antagonist
PJ-34	PARP inhibitor
duloxetine	Norepinephrine inhibitor|Serotonin reuptake inhibitor
timonacic	Antioxidant
BRD-K17415526	Protein tyrosine kinase inhibitor
selegiline	Monoamine oxidase inhibitor
riociguat	Guanylate cyclase activator
buflomedil	Adrenergic receptor antagonist|Calcium channel blocker
travoprost	Prostanoid receptor agonist
CD-1530	Retinoid receptor agonist
GW-5074	Leucine rich repeat kinase inhibitor
MR-16728	Acetylcholine receptor agonist|Acetylcholine release enhancer
DPCPX	Adenosine receptor antagonist
sulfinpyrazone	Uricosuric
UNC-0642	Histone lysine methyltransferase inhibitor
BRD-K88741031	Tyrosine kinase inhibitor|EGFR inhibitor
GSK-923295	Centromere associated protein inhibitor
paroxetine	Selective serotonin reuptake inhibitor (SSRI)
DMP-543	Acetylcholine receptor agonist
tranylcypromine	Monoamine oxidase inhibitor
lodoxamide	Histamine receptor antagonist
isofloxythepin	Dopamine receptor antagonist
T-0070907	PPAR receptor antagonist
ciglitazone	PPAR receptor agonist
BRD-K89329876	Kinesin inhibitor
amthamine	Histamine receptor agonist
cycloheximide	Protein synthesis inhibitor
canagliflozin	Sodium channel inhibitor
NF-449	Purinergic receptor antagonist
ofloxacin	Bacterial DNA inhibitor
calpeptin	Calpain inhibitor
galantamine	Acetylcholinesterase inhibitor
toremifene	Selective estrogen receptor modulator (SERM)|Estrogen receptor antagonist
NU-7441	P-glycoprotein inhibitor|DNA dependent protein kinase inhibitor
pantoprazole	Proton pump inhibitor
bumetanide	Solute carrier family member inhibitor
dacarbazine	DNA alkylating agent
FK-866	Niacinamide phosphoribosyltransferase inhibitor
ICI-199441	Opioid receptor agonist
theophylline	Adenosine receptor antagonist
altanserin	Serotonin receptor antagonist
artemisinin	DNA inhibitor
brexpiprazole	Dopamine receptor antagonist
ampalex	Glutamate receptor agonist
zileuton	Leukotriene inhibitor|Lipoxygenase inhibitor
BRD-K40654626	Immunostimulant
larixinic-acid	Compund that interacts with metal centers
nalbuphine	Opioid receptor antagonist
istaroxime	ATPase inhibitor
PNU-282987	Cholinergic receptor agonist
JNJ-16259685	Glutamate receptor antagonist
adatanserin	Serotonin receptor agonist|Serotonin receptor antagonist
synephrine	Adrenergic receptor agonist
fluphenazine	Dopamine receptor antagonist
ML-141	CDC inhibitor
GDC-0834	BTK inhibitor
lorazepam	Benzodiazepine receptor agonist
xanthoxyline	Antifungal
minoxidil	KATP activator|Vasodilator
imatinib	PDGFR inhibitor|Bcr-Abl inhibitor|KIT inhibitor
papaverine	Phosphodiesterase inhibitor
ramatroban	Prostanoid receptor antagonist
QW-BI-011	Histone lysine methyltransferase inhibitor
methiopril	ACE inhibitor
cromakalim	Potassium channel activator
BRD-K30064966	Caspase activator
quinine	Hemozoin biocrystallization inhibitor
betulinic-acid	Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV inhibitor|NFKB activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
BRD-K28120222	NFKB inhibitor
carbenoxolone	11-beta-HSD1 inhibitor
zolantidine	Histamine receptor antagonist
dopamine	Dopamine receptor agonist
WZ-7043	CSF1R inhibitor
TUL-XXI039	Serine/threonine kinase inhibitor
primidone	GABA receptor antagonist
voglibose	Glucosidase inhibitor
BRD-K12401458	Lysophospholipid receptor agonist
SB-222200	Tachykinin antagonist
palmitoylethanolamide	Cannabinoid receptor agonist
BRD-A42831637	Anti-inflammatory|Cannabinoid metabolite
lisuride	Dopamine receptor agonist
scandenin	Plant alkaloid
luliconazole	Sterol demethylase inhibitor
cetirizine	Histamine receptor antagonist
PRE-084	Sigma receptor agonist
CGP-54626	GABA receptor antagonist
nesbuvir	RNA polymerase inhibitor
mestinon	Cholinesterase inhibitor
E-4031	Potassium channel antagonist
dimethyl-fumarate	NRF2 activator|KEAP1 ligand|NFKB inhibitor
palomid-529	AKT inhibitor|FGFR inhibitor|MTOR inhibitor|VEGFR inhibitor
BRD-K57926513	PDGFR inhibitor
SDM-25N	Opioid receptor antagonist
doxercalciferol	Vitamin D receptor agonist
GSK-2636771	PI3K inhibitor
triprolidine	Histamine receptor antagonist
carbachol	Cholinergic receptor agonist
flavoxate	Acetylcholine receptor antagonist
Y-134	Estrogen receptor antagonist
cefuroxime	Bacterial cell wall synthesis inhibitor
semaxanib	VEGFR inhibitor
olanzapine	Dopamine receptor antagonist|Serotonin receptor antagonist
lafutidine	Histamine receptor antagonist
butylparaben	DNA inhibitor
zacopride	Serotonin receptor antagonist
cilengitide	Integrin inhibitor
SID-7969543	Steroid
NSC-23766	Ras GTPase inhibitor
tyrphostin-51	EGFR inhibitor
nicergoline	Adrenergic receptor antagonist
proxymetacaine	Sodium channel inhibitor
pentamidine	Anti-pneumocystis agent
etacrynic-acid	Sodium channel inhibitor
amrinone	Phosphodiesterase inhibitor
diphenidol	Acetylcholine receptor agonist
zearalenone	Estrogenic metabolite
homatropine	Acetylcholine receptor antagonist
etomidate	Membrane integrity inhibitor|Membrane permeability inhibitor|GABA receptor modulator
ondansetron	Serotonin receptor antagonist
imexon	Apoptosis stimulant|Ribonucleoside reductase inhibitor
MMPX	Phosphodiesterase inhibitor
LY-2874455	FGFR inhibitor
azauridine	Antiviral
PX-12	Thioredoxin inhibitor
SGX-523	HGF receptor inhibitor
verapamil	Calcium channel blocker
tropicamide	Acetylcholine receptor antagonist
Ro-20-1724	Phosphodiesterase inhibitor
chlorpropham	Antiviral
XMD-892	MAP kinase inhibitor
SKF-86002	P38 MAPK inhibitor
FR-180204	MAP kinase inhibitor
BRD-K48115423	Matrix metalloprotease inhibitor
adipiodone	Radiopaque medium
cyanocobalamin	Methylmalonyl CoA mutase stimulant
lirimilast	Phosphodiesterase inhibitor
telotristat	Serotonin receptor antagonist|Serotonin release inhibitor
AZ-628	RAF inhibitor
BRD-K25690923	Macrophage inhibitor
salirasib	MTOR inhibitor
suprofen	Cyclooxygenase inhibitor
SB-205384	GABA receptor antagonist
KU-0063794	MTOR inhibitor
BRD-K20168484	Lipoxygenase inhibitor
ivacaftor	CFTR channel antagonist
thioridazine	Dopamine receptor antagonist
cinalukast	Leukotriene receptor antagonist
gatifloxacin	Bacterial DNA Gyrase inhibitor
clofoctol	Bacterial protein synthesis inhibitor
trametinib	MEK inhibitor
nadolol	Adrenergic receptor antagonist
BRD-A54632525	Lipoxygenase inhibitor
carbamazepine	Carboxamide antiepileptic
GR-46611	Serotonin receptor agonist
ODQ	Guanylyl cyclase inhibitor
bemesetron	Serotonin receptor antagonist
vinburnine	Adrenergic receptor antagonist
dorzolamide	Carbonic anhydrase inhibitor
coumophos	Cholinesterase inhibitor
PHTPP	Estrogen receptor antagonist
amitifadine	Serotonin receptor antagonist
candesartan-cilextil	Angiotensin receptor antagonist
WZ-4002	EGFR inhibitor
GW-405833	Cannabinoid receptor agonist
brinzolamide	Carbonic anhydrase inhibitor
BRD-K92301463	Prostanoid receptor agonist
selumetinib	MEK inhibitor
castanospermine	Glucosidase inhibitor
nateglinide	Insulin secretagogue
NSC-632839	Ubiquitin specific protease inhibitor
lorcaserin	Serotonin receptor agonist
VUF-5681	Histamine receptor antagonist
chlorhexidine	Bacterial membrane integrity inhibitor
BAFILOMYCIN-A1	ATPase inhibitor
tomelukast	Leukotriene receptor antagonist
edoxudine	DNA inhibitor
colforsin	Adenylyl cyclase activator
indacaterol	Adrenergic receptor agonist
BML-190	Cannabinoid receptor antagonist
NXY-059	Free radical scavenger
cromoglicic-acid	Immunosuppressant
desoxypeganine	Acetylcholinesterase inhibitor|Monoamine oxidase inhibitor
Ro-15-4513	GABA receptor agonist
hypericin	Tyrosine kinase inhibitor
enprofylline	Phosphodiesterase inhibitor
RHC-80267	Triacylglycerol lipase inhibitor
heliotrine	Pyrrolizidine alkaloid
altizide	Diuretic
AMG-837	Fatty acid receptor agonist
timofibrate	Cholesterol inhibitor|Lipase clearing factor inhibitor
apremilast	Phosphodiesterase inhibitor
altretamine	DNA inhibitor
epirizole	Cyclooxygenase inhibitor
dibenzoylmethane	Carcinogen
fludarabine-phosphate	DNA inhibitor|DNA repair enzyme inhibitor|Purine antagonist
tetrindole	Monoamine oxidase inhibitor
orantinib	VEGFR inhibitor
urapidil	Adrenergic receptor antagonist
BW-180C	Opioid receptor agonist
AV-412	Receptor tyrosine protein kinase inhibitor
emedastine	Histamine receptor antagonist
ALW-II-49-7	Ephrin inhibitor
baicalin	Beta glucuronidase inhibitor
huperzine-a	Acetylcholinesterase inhibitor
LX-1031	Tryptophan hydroxylase inhibitor
AZ-10417808	Caspase inhibitor
dehydroepiandrosterone	Protein synthesis stimulant
desmopressin-acetate	Vasopressin receptor agonist
fexaramine	FXR agonist
butoconazole	Bacterial cell wall synthesis inhibitor
trifluoperazine	Dopamine receptor antagonist
securinine	GABA receptor antagonist
cinchonine	P-glycoprotein inhibitor
buphenine	Adrenergic receptor agonist
pifithrin	p53 inhibitor
zidovudine	Reverse transcriptase inhibitor
BRD-K63792901	Acetylcholine receptor agonist
tretinoin	Retinoid receptor agonist|Retinoid receptor ligand
ORE-1001	ACE inhibitor
BRD-A02367930	Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
PPT	Estrogen receptor agonist
formononetin	Alcohol dehydrogenase inhibitor
candesartan	Angiotensin receptor antagonist
MT-21	Caspase activator
FPL-62064	Cyclooxygenase inhibitor|Lipoxygenase inhibitor
pentoxifylline	Phosphodiesterase inhibitor
acitretin	Retinoid receptor agonist
oligomycin-c	ATP synthase inhibitor|ATPase inhibitor
BRD-K45330754	Estrogen receptor agonist
pregnenolone	Glutamate receptor antagonist
QL-XII-47	BTK inhibitor|Cytoplasmic tyrosine protein kinase BMX inhibitor
saclofen	GABA receptor antagonist
estrone	Estrogen receptor agonist
bisphenol-a	Synthetic estrogen
AZD-8055	MTOR inhibitor
benzamil	Sodium channel inhibitor
deferiprone	Chelating agent
BRD-K75430629	PI3K inhibitor
pilaralisib	PI3K inhibitor
milrinone	Phosphodiesterase inhibitor
methimazole	Antithyroid agent
ginkgolide-b	Platelet activating factor receptor antagonist|GABA receptor antagonist|Glycine receptor antagonist|Immunosuppressant|Peptidase inhibitor|Protease inhibitor|Reducing agent
NVP-TAE684	ALK inhibitor
BRD-K98404142	Glucose 6-phosphate dehydrogenase inhibitor
dacinostat	HDAC inhibitor
etoposide	Topoisomerase inhibitor
ecabet	Gastrin inhibitor|Urease inhibitor
BRD-K71860425	CDK inhibitor
vortioxetine	Serotonin receptor agonist|Serotonin receptor antagonist
doxapram	Potassium channel antagonist
biperiden	Acetylcholine receptor antagonist
oleylethanolamide	Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker
OCO-1112	Cholesterol inhibitor
otilonium	Acetylcholine receptor antagonist
JW-55	Tankyrase inhibitor
arcyriaflavin-a	CDK inhibitor
methyllycaconitine	Acetylcholine receptor antagonist
PFI-1	Bromodomain inhibitor
sofalcone	Mucus protecting agent
eticlopride	Dopamine receptor antagonist
ganglioside	Src activator
efaroxan	Adrenergic receptor antagonist
BRD-K22848513	Nuclear factor erythroid derived, like (NRF2) activator|Apoptosis stimulant|BCL inhibitor|Glutathione Reductase (NADPH) Activators|Heme Oxygenase Activators|IKK-1 (IKK-alpha) Inhibitors|NFKB inhibitor|Nitric oxide production inhibitor|PPAR receptor agonist|Reducing agent
BCI-540	Glutamate receptor agonist
ixazomib	Proteasome inhibitor
BRD-K06956503	Glucosylceramidase inhibitor
naltrexone	Opioid receptor antagonist
cilostazol	Phosphodiesterase inhibitor
indoprofen	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)
ABT-737	BCL inhibitor
sorafenib	RET tyrosine kinase inhibitor
piperidolate	Acetylcholine receptor antagonist
BRD-K84798689	Potassium channel activator
simvastatin	HMGCR inhibitor
Y-27632	Rho associated kinase inhibitor
ranolazine	Sodium channel inhibitor
clomipramine	Serotonin receptor antagonist
capsazepine	TRPV agonist
MRS-1220	Adenosine receptor antagonist
acecainide	Polarization inhibitor
VTP-27999	Renin inhibitor
BRD-K45437867	Acetylcholine receptor agonist
AZD-6482	PI3K inhibitor
HG-5-88-01	Protein kinase inhibitor
desvenlafaxine	Serotonin receptor antagonist
IAA-94	Chloride channel blocker
L-692585	Growth hormone releasing peptide ligand agonist
levetiracetam	Calcium channel blocker
estradiol-cypionate	Estrogen receptor agonist
PA-824	Nitric oxide donor
tolvaptan	Vasopressin receptor antagonist
NU-7026	DNA inhibitor|MTOR inhibitor|PI3K inhibitor
VU-0400195-3	Glutamate receptor antagonist
RITA	MDM inhibitor
dorsomorphin	AMPK inhibitor
letermovir	CMV terminase inhibitor
perindopril	ACE inhibitor
triamcinolone	Glucocorticoid receptor agonist
nTZDpa	PPAR receptor agonist
azathioprine	Dehydrogenase inhibitor
fluoropyruvate	PDK inhibitor
GDC-0199	BCL inhibitor
3-MPPI	Adrenergic receptor antagonist
CFM-1571	Guanylate cyclase activator
pterostilbene	Cyclooxygenase inhibitor|PPAR receptor agonist
EHNA	Adenosine deaminase inhibitor
metrizamide	Radiopaque medium
aminomethyltransferase	Nitric oxide synthase inhibitor
zamifenacin	Acetylcholine receptor antagonist
BX-912	PDK inhibitor
goserelin-acetate	Gonadotropin receptor agonist
triacsin-c	Adrenergic receptor antagonist
bongkrek-acid	Mitochondrial inhibitor
thioguanine	Purine antagonist
almorexant	Orexin receptor antagonist
CC-401	JNK inhibitor
axitinib	VEGFR inhibitor|PDGFR inhibitor
nabumetone	Cyclooxygenase inhibitor
DAU-5884	Acetylcholine receptor antagonist
ST-91	Adrenergic receptor agonist
BRD-K54606188	Bromodomain inhibitor
olprinone	Phosphodiesterase inhibitor
parbendazole	Tubulin inhibitor
liothyronine	Thyroid hormone stimulant
sotalol	Adrenergic receptor antagonist
nicotine	Acetylcholine receptor agonist
tracazolate	GABA receptor antagonist
BRD-K37846922	CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor
E-2012	Gamma secretase inhibitor
CX-4945	Casein kinase inhibitor
dazoxiben	Thromboxane synthase inhibitor
tibolone	Estrogen receptor agonist|Androgen receptor agonist|Progesterone receptor agonist
lonafarnib	Farnesyltransferase inhibitor
YS-035	Calcium channel blocker
prostaglandin	Prostanoid receptor antagonist
ifosfamide	DNA alkylating agent
sinensetin	Cyclooxygenase inhibitor
L-701324	Glutamate receptor antagonist
orantinib	PDGFR inhibitor|FGFR inhibitor|VEGFR inhibitor
Y-27152	Potassium channel activator
ICI-89406	Adrenergic receptor antagonist
etanidazole	Bacterial cell wall synthesis inhibitor
clobetasol	Glucocorticoid receptor agonist
didanosine	Nucleoside reverse transcriptase inhibitor
amoxapine	Norepinephrine inhibitor
SB-258585	Serotonin receptor antagonist
cilostamide	Phosphodiesterase inhibitor
BRD-K68144790	Apoptosis stimulant
boldine	Acetylcholine receptor antagonist|Dopamine receptor antagonist
BRD-A36707673	LXR agonist
KW-2449	Abl inhibitor|Aurora kinase inhibitor|FLT3 inhibitor
nilotinib	Bcr-Abl inhibitor|Abl inhibitor
embelin	HCV inhibitor|XIAP inhibitor
TAS-301	Calcium channel blocker
barasertib-HQPA	Aurora kinase inhibitor
aloisine	CFTR channel agonist
BMS-599626	EGFR inhibitor|Receptor tyrosine protein kinase inhibitor
naloxone	Opioid receptor antagonist
C2-dihydroceramide	Inactive form of C2 ceramide
mepazine	Mucus protecting agent
ascorbic-acid	Antioxidant
chlortalidone	Carbonic anhydrase inhibitor
adapalene	Retinoid receptor agonist
SKI-II	Sphingosine kinase inhibitor
talnetant	Tachykinin antagonist
gefitinib	EGFR inhibitor
MNITMT	Lymphocyte inhibitor
L-693403	Sigma receptor agonist|Sigma receptor antagonist
BRD-K19059335	Runt-related transcription factor inhibitor
promethazine	Histamine receptor antagonist
prostaglandin-b2	Prostanoid receptor antagonist
amonafide	Topoisomerase inhibitor
phenazone	Cyclooxygenase inhibitor
HK-CB19	CDC inhibitor
estriol	Estrogen receptor agonist
procarbazine	Monoamine oxidase inhibitor
dimercaptosuccinic-acid	Chelating agent
WR-216174	PFMRK inhibitor
BRD-K77690805	Pyruvate kinase isozyme activator
AG-99	Tyrosine kinase inhibitor
bavisant	Histamine receptor antagonist
PP-30	RAF inhibitor
scopolamine	Acetylcholine receptor antagonist
meptazinol	Opioid receptor agonist
raltegravir	HIV inhibitor
ursolic-acid	11-beta-HSD1 inhibitor|Acetylcholinesterase inhibitor|ATPase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|NFKB inhibitor|Quorum sensing signaling modulator|STAT inhibitor|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor
penitrem-a	Potassium channel blocker
aflatoxin-b1	Carcinogen
O-3M3FBS	Phospholipase activator
picolinic-acid	Chelating agent
acifran	Cholesterol inhibitor
BRD-K60174629	Prolyl endopeptidase inhibitor
rivaroxaban	Coagulation factor inhibitor
GBR-12935	Dopamine receptor antagonist
naltriben	Opioid receptor antagonist
cilnidipine	Calcium channel blocker
SKF-77434	Dopamine receptor agonist
erbstatin-analog	EGFR inhibitor|Tyrosine kinase inhibitor
mephentermine	Adrenergic receptor agonist
YM-976	Phosphodiesterase inhibitor
BW-723C86	Serotonin receptor agonist
daunorubicin	RNA synthesis inhibitor|Topoisomerase inhibitor
stavudine	DNA inhibitor|Reverse transcriptase inhibitor
curcumin	Histone acetyltransferase inhibitor
erlotinib	EGFR inhibitor
resorcinol	Antiseptic
BRD-K88969189	Estrogen receptor agonist
macitentan	Endothelin receptor antagonist
sacubitril	Neprilysin inhibitor
hydrocortisone-valerate	Corticosteroid agonist|Glucocorticoid receptor agonist
BRD-K41708980	Immunosuppressant|Corticosteroid agonist|Glucocorticoid receptor agonist
vecuronium	Acetylcholine receptor antagonist
tasquinimod	Angiogenesis inhibitor|S100A9 inhibitor
ZM-447439	Aurora kinase inhibitor
CGP-55845	GABA receptor antagonist
SR-57227A	Serotonin receptor agonist
epitiostanol	Androgen receptor agonist
UK-383367	Procollagen C-Endopeptidase Inhibitors
drospirenone	Mineralocorticoid receptor antagonist
parthenolide	NFKB inhibitor
benidipine	Calcium channel blocker
tacrolimus	Calcineurin inhibitor
CP-673451	PDGFR inhibitor
dichlorodiamine-platinum	Carcinogen
AZD-7762	CHK inhibitor
acetamide	Solvent
tiabendazole	Angiogenesis inhibitor
BX-795	IKK inhibitor
vismodegib	Hedgehog pathway inhibitor|Smoothened receptor antagonist
I-BET-762	Bromodomain inhibitor
P-1075	ATP channel activator|Potassium channel activator
medetomidine	Adrenergic receptor agonist
amfepramone	Adrenergic receptor agonist
glycitein	TNF inhibitor
probenecid	Uricosuric
tramadol	Norepinephrine reputake inhibitor
BRD-K19216856	Nitric oxide synthase inhibitor
BRD-K76064317	FLT3 inhibitor
ingenol-mebutate	PKC activator
AV-608	Tachykinin antagonist
QS-11	ARFGAP inhibitor
lidocaine	Histamine receptor agonist
BRD-K50311478	Chymotrypsin inhibitor
bendroflumethiazide	Sodium channel inhibitor
lupanine	Sodium channel inhibitor
mCPP	Serotonin receptor agonist
GW-311616	Leukocyte elastase inhibitor
aliskiren	Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor
levonorgestrel	Estrogen receptor agonist|Glucocorticoid receptor antagonist|Progesterone receptor agonist|Progesterone receptor antagonist
colforsin-daproate	Adenylyl cyclase activator
propentofylline	Adenosine receptor antagonist|Phosphodiesterase inhibitor
azithromycin	Bacterial 50S ribosomal subunit inhibitor
noscapine	Bradykinin receptor antagonist
AGP-103	Membrane integrity inhibitor
mifepristone	Glucocorticoid receptor antagonist|Progesterone receptor antagonist
xylazine	Adrenergic receptor agonist
cinaciguat	Guanylate cyclase activator
RK-682	Tyrosine phosphatase inhibitor
lidoflazine	Calcium channel blocker
tyrphostin	EGFR inhibitor
cyproterone	Androgen receptor antagonist
karakoline	Phytotoxin
capsaicin	TRPV agonist
methysergide	Serotonin receptor antagonist
fexofenadine	Histamine receptor antagonist
LY-456236	Glutamate receptor antagonist
dasatinib	KIT inhibitor|Bcr-Abl inhibitor|Ephrin inhibitor|PDGFR inhibitor|Src inhibitor|Tyrosine kinase inhibitor
linopirdine	Potassium channel antagonist
rhapontin	Apoptosis stimulant
spiroxatrine	Serotonin receptor antagonist
DH-97	Melatonin receptor antagonist
RU-28318	Cytochrome P450 inhibitor
VE-822	ATR kinase inhibitor
alda-1	Aldehyde dehydrogenase activator
minoxidil	Potassium channel activator
aniracetam	Glutamate receptor agonist
L-689560	Glutamate receptor antagonist
FPL-64176	Calcium channel activator
piceatannol	Syk inhibitor
molsidomine	Guanylyl cyclase activator
MK-2206	AKT inhibitor
calcifediol	Vitamin D receptor agonist
choline-alfoscerate	Acetylcholine receptor agonist|Acetylcholine precursor|Membrane permeability enhancer
ML-204	Transient receptor potential channel antagonist
noreleagnine	Monoamine oxidase inhibitor|Serotonin receptor agonist
emetine	Protein synthesis inhibitor
O6-benzylguanine	O6-alkylguanine-DNA alkyltransferase inhibitor
fillalbin	Increases arterial blood pressure
dolutegravir	HIV inhibitor
mirodenafil	Phosphodiesterase inhibitor
BH3I-1	BCL inhibitor
AMG-517	TRPV antagonist
7-nitroindazole	Nitric oxide synthase inhibitor
BRD-K54331210	Alkaline phosphatase inhibitor
dipraglurant	Glutamate receptor antagonist
L-803087	Somatostatin receptor agonist
AST-1306	EGFR inhibitor
repsox	TGF-beta receptor inhibitor
CP-55940	Cannabinoid receptor agonist
PF-562271	Focal adhesion kinase inhibitor
tetramethylsilane	Internal standard for NMR spectroscopy
LY-165163	Serotonin receptor antagonist
imperatorin	CDK inhibitor
phenformin	AMPK activator
tolfenamic-acid	Cyclooxygenase inhibitor|Leukotriene synthesis inhibitor|Prostanoid receptor antagonist|Prostanoid receptor inhibitor
sulfadimethoxine	Dihydropteroate synthase inhibitor
fentiazac	Cyclooxygenase inhibitor
GW-2580	CFMS kinase inhibitor
PF-750	FAAH inhibitor
nonoxynol-9	Membrane integrity inhibitor
ICI-63197	Phosphodiesterase inhibitor
cinnarizine	Calcium channel blocker
BRD-K97330509	Src inhibitor
A-769662	AMPK activator
raclopride	Dopamine receptor antagonist
zolpidem	Benzodiazepine receptor agonist
vitexin	Antioxidant
ganaxolone	GABA receptor antagonist
fasudil	Rho associated kinase inhibitor
diazepam	Benzodiazepine receptor agonist
RS-39604	Serotonin receptor antagonist
alectinib	ALK inhibitor
BRD-K97019106	Acetylcholine receptor agonist
kinetin-riboside	Apoptosis stimulant
filgotinib	JAK inhibitor
nikethamide	Immunostimulant
ML-133	Potassium channel antagonist
iguratimod	Cyclooxygenase inhibitor|NFKB inhibitor
aminosalicylic-acid	Cyclooxygenase inhibitor
hydrocortisone	Glucocorticoid receptor agonist
UNC-0646	Histone lysine methyltransferase inhibitor
NTNCB	Neuropeptide receptor antagonist
FK-888	Tachykinin antagonist
S-ruxolitinib	JAK inhibitor
brivudine	DNA inhibitor
carbacyclin	PPAR receptor agonist
moexipril	ACE inhibitor
BRD-A97035593	XIAP inhibitor
conivaptan	Vasopressin receptor antagonist
ethoprop	Acetylcholinesterase inhibitor
idarubicin	Topoisomerase inhibitor
SKF-96365	Calcium channel blocker
disopyramide	Sodium channel inhibitor
tozasertib	Aurora kinase inhibitor|Bcr-Abl inhibitor|FLT3 inhibitor|JAK inhibitor
olmesartan	Angiotensin receptor antagonist
modafinil	Adrenergic receptor agonist
piretanide	Glucocorticoid receptor agonist
ruxolitinib	JAK inhibitor
lonidamine	Glucokinase inhibitor
RS-45041-190	Imidazoline receptor agonist
propylthiouracil	Thyroid peroxidase inhibitor
WT-171	HDAC inhibitor
LY-83583	Guanylyl cyclase inhibitor
AG-494	EGFR inhibitor|Tyrosine kinase inhibitor
tamsulosin	Adrenergic receptor antagonist
BRD-K74305673	IKK inhibitor|NFKB inhibitor
piracetam	Acetylcholine receptor agonist
phenolphthalein	Indicator dye
enoximone	Phosphodiesterase inhibitor
AVA	Nucleophosmin inhibitor
fluprostenol	Prostanoid receptor agonist
cutamesine	Sigma receptor agonist
phenylbutazone	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
PD-168077	Dopamine receptor agonist
bambuterol	Adrenergic receptor agonist
XMD-1150	LRRK inhibitor
GDC-0068	AKT inhibitor
etizolam	Benzodiazepine receptor agonist
amidopyrine	Analgesic
dinoprost	Prostacyclin analog
10-DEBC	AKT inhibitor
ciclesonide	Glucocorticoid receptor agonist
L-655240	Thromboxane receptor antagonist
cotinine	Nicotinic receptor agonist
pregnenolone	Glutamate receptor modulator
nicardipine	Calcium channel blocker
CCMQ	Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
BRD-K04887706	AKT inhibitor
ZK-164015	Estrogen receptor antagonist
oxybuprocaine	Anesthetic - local
BRD-K93725829	MAP kinase inhibitor
tulobuterol	Adrenergic receptor agonist
pifithrin-alpha	p53 inhibitor
rilmenidine	Adrenergic receptor agonist|Imidazoline receptor agonist
methandriol	Androgen receptor antagonist
dienestrol	Estrogen receptor agonist
mirtazapine	Adrenergic receptor antagonist
PSB-11	Adenosine receptor antagonist
felbamate	Glutamate receptor antagonist
bifonazole	Sterol demethylase inhibitor
cyanoquinoline-11	Kinase inhibitor
dimesna	Tubulin inhibitor
NNC-711	GAT inhibitor
AMG-9810	TRPV antagonist
GP-1a	Cannabinoid receptor agonist
testosterone	Androgen receptor agonist
DL-TBOA	Excitatory amino acid transporter inhibitor
pramipexole	Dopamine receptor agonist
fluticasone-propionate	Glucocorticoid receptor agonist
CHEMBL-399379	ATP citrase lyase inhibitor
cyclosporin-a	Calcineurin inhibitor
RAF-265	RAF inhibitor|VEGFR inhibitor
otamixaban	Coagulation factor inhibitor
pazufloxacin	Bacterial DNA Gyrase inhibitor
nortriptyline	Tricyclic antidepressant
dicloxacillin	Bacterial cell wall synthesis inhibitor
rufinamide	Voltage-gated sodium channel blocker
picrotoxin	GABA receptor antagonist
ST-1859	Beta amyloid inhibitor
Ro-60-0175	Serotonin receptor agonist
luzindole	Melatonin receptor antagonist
glibenclamide	ATP channel blocker|Insulin secretagogue|Sulfonylurea
FR-122047	Cyclooxygenase inhibitor
PD-153035	EGFR inhibitor
BRD-K09907482	Tyrosine phosphatase inhibitor
carbidopa	Aromatic L-amino acid decarboxylase inhibitor
VGX-1027	TNF inhibitor
anidulafungin	Fungal 1,3-beta-D-glucan synthase inhibitor
hesperidin	Flavanone glycoside
enrofloxacin	Bacterial DNA inhibitor
ACY-1215	HDAC inhibitor
BRD-K86682249	Tyrosine phosphatase inhibitor
CPI-613	PDK inhibitor
varenicline	Acetylcholine receptor agonist
ciclacillin	Bacterial cell wall synthesis inhibitor
