Rank	Pert_id	Drug	rRGES	moa
855	BRD-K59332007	linopirdine	-0.4760544973660612	Potassium channel antagonist
856	BRD-K20141153	atomoxetine	-0.47602266932857723	Norepinephrine inhibitor
857	BRD-A34706053	CGP-12177	-0.47601982761413525	-
858	BRD-K07515761	BRD-K07515761	-0.47599573013695773	-
859	BRD-K69600043	thiethylperazine	-0.475880924820287	Dopamine receptor antagonist
860	BRD-A74134989	BRD-A74134989	-0.4758301593391928	-
861	BRD-K53061490	ozagrel	-0.47579462887135604	Thromboxane synthase inhibitor
862	BRD-K07079548	BRD-K07079548	-0.4757793540755583	-
863	BRD-K94248251	BJM-HSC2-10	-0.4757791055403286	-
864	BRD-K87510569	RS-504393	-0.47577488992107825	-
865	BRD-K63516691	T-0156	-0.4757655019202574	-
866	BRD-A60386802	BRD-A60386802	-0.47573579838051544	-
867	BRD-K34639619	SD-6-035-A1	-0.47572517804068726	-
868	BRD-K78599730	manumycin-a	-0.4756681618563567	Farnesyltransferase inhibitor|NFKB inhibitor
869	BRD-K40087974	BRD-K40087974	-0.47563049323437817	-
870	BRD-K11981252	BRD-K11981252	-0.4756099878626407	-
871	BRD-K04111260	raclopride	-0.47559728360068054	Dopamine receptor antagonist
872	BRD-K88542532	BRD-K88542532	-0.47553933789113595	-
873	BRD-K98381590	RAN-07	-0.47551009424307344	-
874	BRD-K84114569	BRD-K84114569	-0.4754919157440788	-
875	BRD-K63945320	dihydrosamidin	-0.47547833945451107	Nitric oxide production inhibitor|Phospholipase inhibitor|Platelet activating factor receptor antagonist
876	BRD-A65282128	cefazolin	-0.47546594113034163	-
877	BRD-A52588987	SKF-83566	-0.47542212297259306	-
878	BRD-A18279961	BRD-A18279961	-0.47535813021341244	-
879	BRD-A98725278	methysergide	-0.47531764603871374	Serotonin receptor antagonist
880	BRD-A15530910	carpindolol	-0.47527895751928445	-
881	BRD-K48654774	BRD-K48654774	-0.475229150397112	-
882	BRD-K92301463	16,16-dimethylprostaglandin-e2	-0.475134161356022	-
883	BRD-K14693417	cinchonine	-0.4750779728072841	P-glycoprotein inhibitor
884	BRD-K26657438	imiquimod	-0.47506069997363504	Interferon inducer|TLR agonist
885	BRD-K76964878	EX-527	-0.4750445256604198	-
886	BRD-K71599932	BRD-K71599932	-0.47503905853824907	-
887	BRD-K76775527	nimesulide	-0.4749798301372132	Cyclooxygenase inhibitor
888	BRD-K37021324	BRD-K37021324	-0.4749467578001412	-
889	BRD-K71499074	diclofenamide	-0.47491980141041623	Carbonic anhydrase inhibitor
890	BRD-A24122750	saclofen	-0.4749041436199121	GABA receptor antagonist
891	BRD-K89375097	pirenzepine	-0.47484371229940076	Acetylcholine receptor antagonist
892	BRD-K00206590	P-1075	-0.4748360881877645	-
893	BRD-K25884242	BRD-K25884242	-0.4748286345582438	-
894	BRD-K74212935	ergocryptine	-0.4746215886333296	Dopamine receptor agonist
895	BRD-K57545991	enalapril	-0.4745140855223156	Angiotensin converting enzyme inhibitor
896	BRD-A65516924	BRD-A65516924	-0.4745069156021638	-
897	BRD-K30434763	BRD-K30434763	-0.4744829702641781	-
898	BRD-K80346834	BRD-K80346834	-0.4744689693278227	-
899	BRD-A29260609	acebutolol	-0.4744162819344925	Adrenergic receptor antagonist
900	BRD-K99756483	BRD-K99756483	-0.47433611099444734	-
901	BRD-K87024524	phenelzine	-0.47429858864919255	Monoamine oxidase inhibitor
902	BRD-K66908362	BRD-K66908362	-0.4742760915630108	-
903	BRD-A59193861	K784-3391	-0.47419260317069295	-
904	BRD-K03394322	SD-8-006	-0.47418042209977335	-
905	BRD-K52394958	GR-159897	-0.47400276732657715	-
906	BRD-K95895342	BRD-K95895342	-0.47389941616616155	-
907	BRD-A26711594	nicardipine	-0.47386669296323136	Calcium channel blocker
908	BRD-K59019422	BRD-K59019422	-0.47381340933149135	-
909	BRD-A16665823	butoconazole	-0.47380759231531233	Bacterial cell wall synthesis inhibitor
910	BRD-A33084410	5'-guanidinonaltrindole	-0.47376918470256085	Opioid receptor antagonist
911	BRD-K42635745	suloctidil	-0.473651511144062	Adrenergic receptor antagonist
912	BRD-K50634134	BRD-K50634134	-0.47362059758502595	-
913	BRD-K25070860	BRD-K25070860	-0.4735927266515593	-
914	BRD-K01815685	indole	-0.4735331512655854	-
915	BRD-K67519589	BRD-K67519589	-0.47350893902136976	-
916	BRD-A60256353	ST-019386	-0.4734875500467125	-
917	BRD-K04833372	GSK-1904529A	-0.47340160473329845	-
918	BRD-A60197193	amisulpride	-0.473392799568452	Dopamine receptor antagonist
919	BRD-K68690198	BRD-K68690198	-0.473387268049374	-
920	BRD-K35961280	BRD-K35961280	-0.4733209893180769	-
921	BRD-A43930669	L-368899	-0.4733159899732144	-
922	BRD-K35189033	levonorgestrel	-0.47325388380737965	Glucocorticoid receptor antagonist
923	BRD-A30612536	BRD-A30612536	-0.4732084739255446	-
924	BRD-K78559095	BRD-K78559095	-0.47318179580911074	-
925	BRD-K00766422	sparfosic-acid	-0.4731633931453643	Aspartate carbamoyltransferase inhibitor
926	BRD-K22449070	BRD-K22449070	-0.4731464627323674	-
927	BRD-A68631409	evodiamine	-0.47314316292790903	ATPase inhibitor|TRPV agonist
928	BRD-K62200014	anagrelide	-0.473138108323746	Phosphodiesterase inhibitor
929	BRD-K89156937	BRD-K89156937	-0.47301675281674477	-
930	BRD-A54880345	etomidate	-0.4730156756498487	Membrane integrity inhibitor|GABA receptor modulator|Membrane permeability inhibitor
931	BRD-A82976242	BRD-A82976242	-0.47290966377907884	-
932	BRD-K66353228	zoxazolamine	-0.4728798979802847	Muscle relaxant
933	BRD-K72264770	QW-BI-011	-0.4728614122504619	-
934	BRD-K69422440	BRD-K69422440	-0.4728581037036618	-
935	BRD-K85051645	BRD-K85051645	-0.47282556624881183	-
936	BRD-K34685430	methylergometrine	-0.47282454361162507	-
937	BRD-K09902564	BRD-K09902564	-0.47282253374736594	-
938	BRD-A64811980	NK42-I-109-1	-0.4727319674100311	-
939	BRD-K32311154	nifekalant	-0.47267602688067517	Potassium channel antagonist
940	BRD-A97730597	hexylcaine	-0.4726662606975766	Sodium channel inhibitor
941	BRD-A26595446	BRD-A26595446	-0.4726641381757762	-
942	BRD-K38197229	bumetanide	-0.472530132051518	Solute carrier family member inhibitor
943	BRD-K70487031	flupentixol	-0.47243489814689554	Dopamine receptor antagonist
944	BRD-K32977963	eugenol	-0.4724063998154518	Androgen receptor antagonist
945	BRD-K63675182	triflupromazine	-0.472356414556428	Dopamine receptor antagonist
946	BRD-A59174698	ritodrine	-0.4722784577786302	Adrenergic receptor agonist
947	BRD-A14395271	mesoridazine	-0.47226687482204616	Dopamine receptor antagonist
948	BRD-K82357231	desloratadine	-0.4721888717666237	Histamine receptor antagonist
949	BRD-K49671696	ketanserin	-0.4721824774488694	Serotonin receptor antagonist
950	BRD-A77577770	BRD-A77577770	-0.47212496626880984	-
951	BRD-K08463963	BRD-K08463963	-0.47209026651801106	-
952	BRD-K99291625	SB-203580	-0.4720697810145515	-
953	BRD-K32696739	noreleagnine	-0.4720612583987622	Monoamine oxidase inhibitor|Serotonin receptor agonist
954	BRD-K99616396	motesanib	-0.47204444305241255	KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor
955	BRD-K00656370	6-aminochrysene	-0.47200601567003236	Transferase inhibitor
956	BRD-A01999384	BRD-A01999384	-0.4719693611772207	-
957	BRD-A54845972	dihydroergotamine	-0.4719436178588348	-
958	BRD-A29731977	17-hydroxyprogesterone-caproate	-0.4718327973254329	-
959	BRD-K93332168	isocarboxazid	-0.47182668148678963	Monoamine oxidase inhibitor
960	BRD-K47105409	AG-490	-0.4718229789837264	-
961	BRD-K40992116	parachlorophenol	-0.4718166119181742	Anti-inflammatory
962	BRD-K12260308	xanthoxyline	-0.4717969468707898	Antifungal
963	BRD-K12579869	BRD-K12579869	-0.4717836586167751	-
964	BRD-K89271983	EMD-41000	-0.47177927111736934	-
965	BRD-K08547377	irinotecan	-0.471621801903026	Topoisomerase inhibitor
966	BRD-K55972177	BRD-K55972177	-0.47153162592084713	-
967	BRD-K74980345	BRD-K74980345	-0.471519087364963	-
968	BRD-K81473089	tacrine	-0.471486200616132	Acetylcholinesterase inhibitor
969	BRD-A29721261	BRD-A29721261	-0.47133028270987576	-
970	BRD-K03568209	MW-STK33-4C	-0.47126836909170094	-
971	BRD-K40656405	L-165041	-0.4712395265986336	-
972	BRD-K97810537	beclometasone	-0.4712302435812258	Glucocorticoid receptor agonist
973	BRD-A17448384	beclometasone	-0.47120791351273056	Glucocorticoid receptor agonist
974	BRD-K10974103	diloxanide	-0.471190260752982	Protein synthesis inhibitor
975	BRD-K51350053	toremifene	-0.471156518695888	Selective estrogen receptor modulator
976	BRD-K84450674	BRD-K84450674	-0.4709736920533058	-
977	BRD-K45401373	betulinic-acid	-0.47097319039809804	Apoptosis stimulant|Caspase activator|Diacylglycerol O acyltransferase inhibitor|HIV integrase inhibitor|NFKB activator|SARS coronavirus 3C-like protease inhibitor|Topoisomerase inhibitor
978	BRD-A97739905	ketoprofen	-0.4709472136585613	Cyclooxygenase inhibitor
979	BRD-K49403449	BRD-K49403449	-0.4708113653632366	-
980	BRD-K32321439	BRD-K32321439	-0.4707740971992431	-
981	BRD-K51805276	temefos	-0.4707157001715333	Cholinesterase inhibitor
982	BRD-K98173387	BRD-K98173387	-0.4706793481452956	-
983	BRD-A70449690	forskolin	-0.47067870692406855	Adenylyl cyclase activator
984	BRD-A83431637	resmethrin	-0.47060895742275144	Cytochrome P450 inhibitor
985	BRD-A91992993	siguazodan	-0.4705929533993287	Phosphodiesterase inhibitor
986	BRD-K78692225	leflunomide	-0.470562376500199	Dihydroorotate dehydrogenase inhibitor|PDGFR inhibitor
987	BRD-K62736196	guanabenz	-0.47055614184894534	Adrenergic receptor agonist
988	BRD-A09062839	amylocaine	-0.47053993599326077	-
989	BRD-K34776109	glimepiride	-0.47053028762108356	Insulin secretagogue
990	BRD-K30704475	BRD-K30704475	-0.4705221517200422	-
991	BRD-A88029023	BRD-A88029023	-0.4704852920958411	-
992	BRD-A02809788	ARG-TC-41	-0.47046125328814803	-
993	BRD-K13571841	pepstatin	-0.4704579251385244	Aspartic protease inhibitor
994	BRD-K89059493	BRD-K89059493	-0.4704364667327414	-
995	BRD-K78126613	menadione	-0.4702918428502284	Mitochondrial inhibitor|Phosphatase inhibitor
996	BRD-K71182391	BRD-K71182391	-0.4702530176455653	-
997	BRD-K58306044	YL-54	-0.47024638653030737	-
998	BRD-K53545112	CNQX	-0.4702339660588442	-
999	BRD-A59943784	fluticasone	-0.47021695917601564	Glucocorticoid receptor agonist
1000	BRD-K61127831	VU-0413247-1	-0.47017326651961794	-
1001	BRD-K52524742	BRD-K52524742	-0.4701116667519593	-
1002	BRD-K96862998	pirfenidone	-0.470094340285501	TGF-beta receptor inhibitor
1003	BRD-K53561341	KIN001-220	-0.4700683054878302	-
1004	BRD-K31987754	oleylethanolamide	-0.470030401456509	Cannabinoid receptor agonist|Glucose dependent insulinotropic receptor agonist|Potassium channel blocker
1005	BRD-K19554809	MK-212	-0.46997770867571703	-
1006	BRD-K10705233	GW-405833	-0.4697781549440742	-
1007	BRD-K57457519	BRD-K57457519	-0.4697763118502214	-
1008	BRD-A63667919	methylergometrine	-0.46972019480079485	-
1009	BRD-K15318909	PRIMA1	-0.4696541908292365	-
1010	BRD-K08174547	BRD-K08174547	-0.46950520631110043	-
1011	BRD-K91442916	CAM-9-026	-0.4694778192586231	-
1012	BRD-K76926998	BRD-K76926998	-0.46940722568505405	-
1013	BRD-K33211335	dextromethorphan	-0.4694003907849905	-
1014	BRD-A51382177	fosinopril	-0.4693646244989331	ACE inhibitor
1015	BRD-K77690805	BRD-K77690805	-0.46931018094564947	-
1016	BRD-K09191212	BRD-K09191212	-0.4693081786164373	-
1017	BRD-K18580829	ARG-CSC-18	-0.4693050865994831	-
1018	BRD-A79981887	midodrine	-0.4692356285790502	Adrenergic receptor agonist
1019	BRD-K26521938	dinoprostone	-0.4692328684914461	Prostanoid receptor agonist
1020	BRD-A48631911	mibefradil	-0.4692279873003711	Calcium channel blocker
1021	BRD-K00603606	ticlopidine	-0.4691955875682326	Purinergic receptor antagonist
1022	BRD-A40639672	ketorolac	-0.46914025513719293	Cyclooxygenase inhibitor
1023	BRD-K19985802	BRD-K19985802	-0.4691327256079565	-
1024	BRD-K48722258	dilazep	-0.46913228691718817	Adenosine receptor antagonist
1025	BRD-K87483782	KUC103893N	-0.4691105271662183	-
1026	BRD-A91699651	chloroquine	-0.4690737416730643	Antimalarial
1027	BRD-K24994810	androstenol	-0.46901131937311047	GABA receptor antagonist
1028	BRD-K87387614	BRD-K87387614	-0.4689823127517532	-
1029	BRD-K48823327	BRD-K48823327	-0.4689416968223227	-
1030	BRD-K19284129	salvinorin-a	-0.4689281994192694	Opioid receptor agonist
1031	BRD-K47323024	methapyrilene	-0.46892021122791183	Histamine receptor antagonist
1032	BRD-K60923938	veratridine	-0.46891904903627885	Sodium channel activator
1033	BRD-K74767048	BRD-K74767048	-0.46891605046391194	-
1034	BRD-K93461745	buspirone	-0.46890453006370914	Serotonin receptor agonist
1035	BRD-K21565985	xylazine	-0.46883807829630836	Adrenergic receptor agonist
1036	BRD-A97104540	fenoterol	-0.4688171200038608	Adrenergic receptor agonist
1037	BRD-A41250306	cyclopenthiazide	-0.46877645098806764	Thiazide diuretic
1038	BRD-K03601405	BRD-K03601405	-0.46874199703411584	-
1039	BRD-K74430258	1,2-dichlorobenzene	-0.4686601534622667	-
1040	BRD-K88059273	BRD-K88059273	-0.46865081668149694	-
1041	BRD-K61220632	leoidin	-0.46860169949686115	-
1042	BRD-K18739469	BRD-K18739469	-0.4686010090412417	-
1043	BRD-A37704979	SB-203580	-0.4685800839398618	-
1044	BRD-K61463582	BRD-K61463582	-0.46850771206281305	-
1045	BRD-K46558254	BRD-K46558254	-0.4684996531850148	-
1046	BRD-A22143024	estropipate	-0.46849918829730985	Estrogen receptor agonist
1047	BRD-K05181463	L-741626	-0.46849904980956536	-
1048	BRD-K00637033	BRD-K00637033	-0.468490329432763	-
1049	BRD-K38910949	ST-4075437	-0.46843385594973513	-
1050	BRD-K09997269	BRD-K09997269	-0.4684170361012148	-
1051	BRD-K86301799	dipyridamole	-0.46840497081131793	Phosphodiesterase inhibitor
1052	BRD-K40441731	BRD-K40441731	-0.4683541671745596	-
1053	BRD-K18096819	BRD-K18096819	-0.46829130877941566	-
1054	BRD-K34098590	tienilic-acid	-0.46825320314217794	Sodium channel inhibitor
1055	BRD-K38756014	farnesylcysteine-methyl-ester	-0.4682339982432333	-
1056	BRD-K83963101	MLN-8054	-0.46821305659461193	-
1057	BRD-A83706824	BRD-A83706824	-0.4681986295275707	-
1058	BRD-K96271548	coumaric-acid	-0.46811350889174536	Antioxidant
1059	BRD-K16664969	GTP-14564	-0.4681117842197033	-
1060	BRD-U88459701	atorvastatin	-0.46808811250198895	HMGCR inhibitor
1061	BRD-K80396088	gliquidone	-0.46795199328978065	Sulfonylurea
1062	BRD-K25836724	epitestosterone	-0.46793349956204705	-
1063	BRD-K12513978	fenbufen	-0.4679223779115656	Cyclooxygenase inhibitor
1064	BRD-K95202259	ML-3163	-0.4678944464400811	-
1065	BRD-A03359064	ICI-89406	-0.4678810732556657	-
1066	BRD-K06748700	BRD-K06748700	-0.46783409325550884	-
1067	BRD-K48692744	NU-1025	-0.4678237194884402	-
1068	BRD-K97440753	dihydroergocristine	-0.4677365562410163	-
1069	BRD-K19533706	tranilast	-0.4677284438133683	Angiogenesis inhibitor
1070	BRD-K61627029	BRD-K61627029	-0.4677273925639523	-
1071	BRD-K37848908	ceforanide	-0.4677051176333161	Penicillin binding protein inhibitor
1072	BRD-K28453807	nitrocaramiphen	-0.46769150566800965	Cholinergic receptor antagonist
1073	BRD-K32010074	MW-A1-14	-0.4676026152906567	-
1074	BRD-K63550407	erythromycin	-0.46752449594080364	NFKB pathway inhibitor
1075	BRD-K32744045	disulfiram	-0.4674697685774511	Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
1076	BRD-K92723993	imatinib	-0.46739567854787073	PDGFR inhibitor|Bcr-Abl inhibitor|KIT inhibitor
1077	BRD-K94689771	pinocembrin	-0.46738853494569	CYP1B1 inhibitor
1078	BRD-A70514680	articaine	-0.4673613239780375	Anesthetic - local
1079	BRD-K91987625	BRD-K91987625	-0.46734469427389796	-
1080	BRD-K07161233	BRD-K07161233	-0.46734077036929633	-
1081	BRD-A69439373	ST-003833	-0.4673344096407255	-
1082	BRD-K99423120	BRD-K99423120	-0.467317518354475	-
1083	BRD-K26117720	gingerol	-0.46727802815555186	Nitric oxide synthase inhibitor
1084	BRD-K10042277	desmethylclozapine	-0.46724981668953636	Acetylcholine receptor agonist
1085	BRD-A81045722	BRD-A81045722	-0.4672290926325133	-
1086	BRD-K63549648	BRD-K63549648	-0.46720774017950273	-
1087	BRD-A52172093	VU-0413807-2	-0.4672043138780803	-
1088	BRD-K28428262	brivanib	-0.46711936685107613	VEGFR inhibitor
1089	BRD-K98064019	BRD-K98064019	-0.46709539360724067	-
1090	BRD-K30480208	torasemide	-0.46709351821233186	Thromboxane receptor antagonist
1091	BRD-K46212057	voriconazole	-0.4670654776526774	Cytochrome P450 inhibitor
1092	BRD-K14441456	tyrphostin-AG-556	-0.4670303119471267	-
1093	BRD-K71915010	BRD-K71915010	-0.467010733418422	-
1094	BRD-K61217870	n-(3-acetamidophenyl)-3-chlorobenzamide	-0.46700230127306086	-
1095	BRD-A52660433	tetrindole	-0.46699670843319296	Monoamine oxidase inhibitor
1096	BRD-K51454562	BRD-K51454562	-0.4669765951958855	-
1097	BRD-K14721042	BRD-K14721042	-0.46697547571229714	-
1098	BRD-K96041033	SA-85901	-0.4669572118093273	-
1099	BRD-K30194621	BRD-K30194621	-0.4669413243758277	-
1100	BRD-K81783531	VX-222	-0.4669336937494726	-
1101	BRD-K98297262	BRD-K98297262	-0.4669266928274802	-
1102	BRD-K18678457	ZD-7288	-0.4668906575804198	-
1103	BRD-A19053259	pseudopelletierine	-0.4668532758555727	Anthelmintic
1104	BRD-K16277217	piperacetazine	-0.46684755180128257	Dopamine receptor antagonist
1105	BRD-K92489476	BRD-K92489476	-0.46677074259465673	-
1106	BRD-A86109770	guggulsterone	-0.46665073050475564	Estrogen receptor agonist|Cholesterol inhibitor|FXR antagonist|IKK inhibitor|Progesterone receptor agonist|PXR agonist
1107	BRD-K68332390	ponalrestat	-0.46662053728336345	Aldose reductase inhibitor
1108	BRD-K53579868	KU-C103882	-0.46658368326179295	-
1109	BRD-K36031023	BRD-K36031023	-0.4665531933852401	-
1110	BRD-K59563627	BRD-K59563627	-0.46652072869282224	-
1111	BRD-K04887706	AKT-inhibitor-1-2	-0.46649136653305073	-
1112	BRD-A21723284	naltriben	-0.4664733400071718	Opioid receptor antagonist
1113	BRD-K78797196	BRD-K78797196	-0.466450672782639	-
1114	BRD-K58279162	BRD-K58279162	-0.46643127935658735	-
1115	BRD-K60640630	mometasone	-0.46641800169916975	Glucocorticoid receptor agonist|Immunosuppressant
1116	BRD-K36377456	marmesin	-0.46641238306459704	Angiogenesis inhibitor
1117	BRD-K16346331	BRD-K16346331	-0.46629619791547033	-
1118	BRD-A69512159	carbidopa	-0.466222513912064	Aromatic L-amino acid decarboxylase inhibitor
1119	BRD-K47695085	BRD-K47695085	-0.46615451352483417	-
1120	BRD-U04166717	XMD-1499	-0.466127393813052	-
1121	BRD-A30655177	LFM-A13	-0.4660879793627135	-
1122	BRD-K56518176	BRD-K56518176	-0.4660843403549925	-
1123	BRD-A95445494	maackiain	-0.4660012515874567	Sodium channel inhibitor
1124	BRD-A20488704	BRD-A20488704	-0.46597928603074973	-
1125	BRD-A75402480	desoxycorticosterone	-0.4657369764389036	-
1126	BRD-A28422058	L-689560	-0.4657166609219734	-
1127	BRD-K67778494	BRD-K67778494	-0.46568067975318755	-
1128	BRD-K76357752	BRD-K76357752	-0.4655970131161295	-
1129	BRD-K56446541	BRD-K56446541	-0.46559017033372735	-
1130	BRD-A43640821	BRD-A43640821	-0.46553289999449254	-
1131	BRD-K65904652	BRD-K65904652	-0.4655219962282711	-
1132	BRD-A55393291	testosterone	-0.4654723955700465	Aromatase inhibitor
1133	BRD-K89348303	ramipril	-0.46545356967228535	Angiotensin converting enzyme inhibitor
1134	BRD-K52735702	cefdinir	-0.46540375447667426	Bacterial cell wall synthesis inhibitor
1135	BRD-K18618618	cimetidine	-0.4653806374292255	Histamine receptor antagonist
1136	BRD-K11540476	EMF-BCA1-64	-0.4653541969496597	-
1137	BRD-K36591038	BRD-K36591038	-0.46532353014611655	-
1138	BRD-K39503511	quiflapon	-0.4653125202181953	Leukotriene inhibitor
1139	BRD-K05906022	limonin	-0.4652955931549783	HIV protease inhibitor
1140	BRD-K75958195	pizotifen	-0.4652739955618754	Serotonin receptor antagonist
1141	BRD-K65786282	CGP-7930	-0.4652696231283075	-
1142	BRD-A48809242	IB-MECA	-0.4652490692773497	-
1143	BRD-K63630713	etacrynic-acid	-0.4652474250351363	Sodium channel inhibitor
1144	BRD-K18587499	ST-4049616	-0.4652191494476451	-
1145	BRD-K32927008	BRD-K32927008	-0.4651770263304905	-
1146	BRD-K08619574	thioproperazine	-0.465173560016256	Dopamine receptor antagonist
1147	BRD-K95435023	PHA-665752	-0.46499304747675835	-
1148	BRD-K30867024	SB-216641	-0.46499251533878705	-
1149	BRD-A73747855	BRD-A73747855	-0.46495120789792205	-
1150	BRD-K30640165	BRD-K30640165	-0.4649064915717838	-
1151	BRD-K92202821	BRD-K92202821	-0.464899190190251	-
1152	BRD-K90697054	BRD-K90697054	-0.46487217167088224	-
1153	BRD-K25875056	SC-9	-0.46484194753591235	-
1154	BRD-A15131297	benazepril	-0.464809711075122	Angiotensin converting enzyme inhibitor
1155	BRD-K07398339	BRD-K07398339	-0.46476542113647246	-
1156	BRD-K88304388	dextrorphan	-0.4647290860737057	Glutamate receptor antagonist
1157	BRD-K33619512	BRD-K33619512	-0.46470572194887055	-
1158	BRD-K26818574	BIX-01294	-0.46469201264452786	-
1159	BRD-K36198571	WAY-170523	-0.4646041107386818	-
1160	BRD-A09164687	BRD-A09164687	-0.46459629302271294	-
1161	BRD-K67277431	picotamide	-0.46455108283519836	Thromboxane receptor antagonist|Thromboxane synthase inhibitor
1162	BRD-K64738596	BRD-K64738596	-0.46451609682000883	-
1163	BRD-K86465814	HO-013	-0.4644809086448505	-
1164	BRD-K68191783	ALW-II-38-3	-0.4644637724664461	-
1165	BRD-A85025557	NCS-382	-0.4644355239228782	-
1166	BRD-A75479906	rimantadine	-0.46440020253675546	Antiviral|RNA synthesis inhibitor
1167	BRD-K83063356	RS-102895	-0.46439979642683765	-
1168	BRD-K81225797	SCH-58261	-0.46436568728677896	-
1169	BRD-K72676786	BRD-K72676786	-0.46429651806376765	-
1170	BRD-K04466929	Merck60	-0.4642364822856604	-
1171	BRD-A71157293	fursultiamine	-0.46419197842670873	Vitamin B
1172	BRD-K85119730	tolbutamide	-0.464177116393746	ATP channel blocker
1173	BRD-K01192156	tyrphostin-AG-112	-0.46415326152414754	-
1174	BRD-A62496920	BRD-A62496920	-0.46413225992069457	-
1175	BRD-K02867583	minaprine	-0.4641187344327971	Serotonin receptor antagonist
1176	BRD-A74608937	BRD-A74608937	-0.4641172667472316	-
1177	BRD-A32161980	carbetocin	-0.46409389715817423	Oxytocin receptor agonist
1178	BRD-K15402119	huperzine-a	-0.46407406304230553	Acetylcholinesterase inhibitor|Glutamate receptor antagonist
1179	BRD-K61981833	KU-C104227	-0.4640519862338144	-
1180	BRD-A24817035	laudanosine	-0.46403455857516707	Central nervous system agent
1181	BRD-A98248982	BRD-A98248982	-0.4639799092284401	-
1182	BRD-A95795120	BRD-A95795120	-0.46397677279539523	-
1183	BRD-K25690923	4-iodo-6-phenylpyrimidine	-0.46394477477541723	-
1184	BRD-K02992638	lamivudine	-0.46392822459580346	Nucleoside reverse transcriptase inhibitor
1185	BRD-A07614565	BRD-A07614565	-0.4638928522374538	-
1186	BRD-K46961308	BRD-K46961308	-0.4638851503032527	-
1187	BRD-A25004090	erastin	-0.46386589511360565	Ion channel antagonist
1188	BRD-K69837166	trap-101	-0.4638605920617307	Opioid receptor antagonist|Nociceptin/orphanin FQ (NOP) receptor antagonist
1189	BRD-A05186015	bupropion	-0.4638513012177901	Dopamine receptor antagonist
1190	BRD-A41995253	brucine	-0.4638267988774442	Glycine receptor antagonist
1191	BRD-K40624912	ZM-39923	-0.46382625842864644	-
1192	BRD-K35941380	methysergide	-0.46381196790328566	Serotonin receptor antagonist
1193	BRD-A58157837	butabindide	-0.46378374209516104	Tripeptidyl peptidase inhibitor
1194	BRD-K67847053	guanabenz	-0.46370279777449325	Adrenergic receptor agonist
1195	BRD-K67017579	cilostazol	-0.46366245630825703	Phosphodiesterase inhibitor
1196	BRD-K38144109	BRD-K38144109	-0.4636258564964941	-
1197	BRD-K26160061	BRD-K26160061	-0.4636195422927794	-
1198	BRD-K04185004	oxybuprocaine	-0.4636182856566173	Anesthetic - local
1199	BRD-K41757249	BRD-K41757249	-0.4635669700397435	-
1200	BRD-K50177987	BRD-K50177987	-0.463525238228118	-
1201	BRD-A54445976	napelline	-0.46337301007764475	-
1202	BRD-K99174507	cardiogenol-c	-0.46330972405248977	Cardiomyogenesis inducer
1203	BRD-A62071884	siguazodan	-0.4632624027593751	Phosphodiesterase inhibitor
1204	BRD-K38903228	hesperidin	-0.4632424485490229	Flavanone glycoside
1205	BRD-K46505016	BRD-K46505016	-0.46323700922204336	-
1206	BRD-A00546892	biperiden	-0.46322329679013663	Acetylcholine receptor antagonist
1207	BRD-K88560311	rucaparib	-0.4632053427323473	PARP inhibitor
1208	BRD-K77987635	BRD-K77987635	-0.4631534687415844	-
1209	BRD-K30545681	ST-4070169	-0.4631445535200759	-
1210	BRD-K28761384	zuclopenthixol	-0.46310030020571796	-
1211	BRD-K00664012	BRD-K00664012	-0.4630800239310999	-
1212	BRD-K27440500	BRD-K27440500	-0.4630535223995849	-
1213	BRD-K68190965	GR-46611	-0.46304255000763705	-
1214	BRD-K03814443	SA-423131	-0.4630390564666758	-
1215	BRD-K86901264	BRD-K86901264	-0.46302884004477884	-
1216	BRD-K04701986	BL-050	-0.4630256949041052	-
1217	BRD-K87432599	BRD-K87432599	-0.4630152557980807	-
1218	BRD-K48367671	febuxostat	-0.4629918129833489	Xanthine oxidase inhibitor
1219	BRD-K04877770	FTase-inhibitor-B581	-0.4629715256424777	-
1220	BRD-K46645809	BRD-K46645809	-0.4628357262147527	-
1221	BRD-K76363932	BRD-K76363932	-0.46278854119616486	-
1222	BRD-K00610438	altanserin	-0.4627590824507616	Serotonin receptor antagonist
1223	BRD-A68721828	BRD-A68721828	-0.4627496136223327	-
1224	BRD-K78485176	olmesartan	-0.46274294324182985	Angiotensin receptor antagonist
1225	BRD-K10670311	sulfasalazine	-0.4626953140388398	Antirheumatic drug|NFKB inhibitor
1226	BRD-K17894950	indirubin	-0.4626944098485942	GSK-3 inhibitor
1227	BRD-K36264978	KM-03439	-0.46268767813137346	-
1228	BRD-K27539181	BRD-K27539181	-0.46265339048974163	-
1229	BRD-A85424553	thioperamide	-0.46261941745772756	Histamine receptor antagonist
1230	BRD-K48716658	BRD-K48716658	-0.46256916108063717	-
1231	BRD-K49027941	PSB-1115	-0.46254456484197576	-
1232	BRD-K05926469	lenalidomide	-0.4624222459827762	Carcinogen
1233	BRD-K16508793	diazepam	-0.46240124841684116	Benzodiazepine receptor agonist
1234	BRD-A32449311	BRD-A32449311	-0.4623989880637204	-
1235	BRD-K98763141	niflumic-acid	-0.4623811253760343	Cyclooxygenase inhibitor
